user_id,seed_type,degree_in_subset,sent_events
2029179612692480854,pattern02,0,3
2214611554140160773,pattern02,0,6
1941531275558912618,pattern02,0,3
2031298189197312538,pattern02,0,4
1465306476183552079,pattern02,0,4
2066830864678912597,pattern02,0,4
2001922559049728923,pattern02,0,3
1773460858601472017,pattern02,0,3
2195923203522560314,pattern02,0,3
2528088558665728145,pattern02,0,4
2285900075630592195,pattern02,0,3
1703097743179776046,pattern02,1,5
1716067344842752528,pattern02,0,3
1519059325681664154,pattern02,0,3
1956300871172096449,pattern02,0,3
1525383245594624477,pattern02,0,3
2477611762581504345,pattern02,0,3
2006950975897600769,pattern02,0,4
2133094022774784367,pattern02,0,3
2537281038581760742,pattern02,0,3
1900936041594880636,pattern02,0,3
1329499979382784458,pattern02,0,3
1848913417994240266,pattern02,0,5
1872315352612864268,pattern02,0,3
1707407088549888299,pattern02,0,4
2048237531824128756,pattern02,0,4
2137325547028480018,pattern02,1,4
2263690422255617008,pattern02,0,5
2020168494481408055,pattern02,0,4
2255427031007232583,pattern02,0,3
1903249426743297002,pattern02,0,3
2065815113302016800,pattern02,0,3
2032921519063040954,pattern02,0,3
1833791601508352689,pattern02,0,4
2193802420813824979,pattern02,0,3
2298788735614976448,pattern02,0,3
2026539717754880669,pattern02,0,3
1819976168112128581,pattern02,0,3
2040940600492032974,pattern02,2,4
2003943257276416389,pattern02,1,3
2024184968380416016,pattern02,0,3
1951053595541504486,pattern02,0,3
1988620802064384040,pattern02,0,3
2049053516890112395,pattern02,0,7
1782058066116608147,pattern02,0,4
2256977220599808929,pattern02,0,3
2112604638019584510,pattern02,0,3
2051833115705344221,pattern02,0,6
2036766680809472043,pattern02,0,8
2293741058523136393,pattern02,0,3
2247547032698880185,pattern02,0,3
1803128630411264919,pattern02,0,3
1579902067277824036,pattern02,0,3
2476309548630016248,pattern02,0,5
1956067978248193007,pattern02,0,3
2283118773927936293,pattern02,1,3
1521092908810240378,pattern02,0,3
2148432567336960777,pattern02,1,3
2284701326770176569,pattern02,0,4
2377332866154496999,pattern02,0,3
1827360131252224788,pattern02,0,3
1603884015419392350,pattern02,0,3
2226484353695744015,pattern02,0,3
2009178671415296831,pattern02,0,4
2259240114716672116,pattern02,0,6
2306958140899328105,pattern02,0,3
1307635903102976849,pattern02,0,4
2118622398906368455,pattern02,0,6
1792885552840704849,pattern02,0,4
1811986581028864114,pattern02,0,3
1953807223226368914,pattern02,0,3
1953319777992704425,pattern02,0,4
1864775764017153015,pattern02,0,4
2070587627274240421,pattern02,0,6
1489836099764224868,pattern02,0,3
1902349983416320470,pattern02,0,3
2123406799536128372,pattern02,0,3
2099645144629248517,pattern02,0,4
2023632779870208470,pattern02,0,3
2064538073563137007,pattern02,0,3
2056014039875584370,pattern02,0,3
2030564806754304645,pattern02,0,3
1948203716968448239,pattern02,0,3
2004808248590336948,pattern02,0,4
1971386029441024594,pattern02,0,4
1767589663473664271,pattern02,0,5
1959935067815936659,pattern02,0,4
1992885293547520674,pattern02,0,3
2060413487284224662,pattern02,0,3
1439187068780544781,pattern02,0,3
2009635028467712734,pattern02,0,5
2271569892081664679,pattern02,0,3
2012507640168448498,pattern02,0,5
2109245243785216928,pattern02,0,3
1572718390542336891,pattern02,0,3
2014175639371776099,pattern02,0,3
1831296091291648223,pattern02,0,3
2066372561469440681,pattern02,0,7
2021282778447872917,pattern02,0,4
2036641950597120177,pattern02,0,3
2089568455098368010,pattern02,0,4
2236697290997760166,pattern02,0,4
2037799620444160325,pattern02,0,3
2252581262852096588,pattern02,0,3
2319375939928064491,pattern02,0,3
1922389218689024335,pattern02,0,3
2043737714720768432,pattern02,0,5
1891434802184192512,pattern02,0,5
1762586009796608026,pattern02,0,4
2032325558796288334,pattern02,0,3
