sender_id,receiver_id,weight
2290391118249985004,2483189306097664657,1
2290865594695680166,2188167113342976336,1
2290865594695680166,2296675452321792647,1
2290865594695680166,2305081416351744815,1
2291503506391040075,1775020342771712881,1
2291695051866112626,1850362038321152712,1
2291697828495360276,2293805625638912587,1
2292678305775616797,1739259035779072875,1
2293768917090304567,2024323707568128236,1
2293768917090304567,2038837568077824443,2
2295978400940032511,2128134853885952240,1
2297414547406848175,2281407464341504206,1
2297449687285760349,2309409409597440555,1
2297531635597312557,2007492628316160898,2
2297531635597312557,2210690760704000038,1
2301161763766272230,2247504192077824545,1
2303194558365696369,2133737059909632332,1
2303520791330816688,1919195918893056837,1
2303520791330816688,2297449687285760349,2
2305282340290560210,2077239860527104953,1
2306209315028992758,2091757370081280526,1
2306378035101696124,2246226237980672426,1
2306378035101696124,2298180326653952262,1
2308274892308480534,2069146799964160140,1
2308274892308480534,2093940673085440818,1
2309314165342208782,2011146789847040963,1
2309409409597440555,1919195918893056837,1
2309409409597440555,2297449687285760349,5
2309409409597440555,2303520791330816688,1
2309710636122112725,2231635722371072722,2
2310704912662528177,2039725267353600466,2
2310704912662528177,2133737059909632332,1
2312620182863872024,2167743017123840485,2
2314296855887872890,1745014996598784927,1
2314296855887872890,2332859167670272929,2
2316188973531136580,2303520791330816688,1
2316916668497920495,1820683428429824682,1
2316916668497920495,2254797969293312044,2
2317527669538816948,2232700186394624543,1
2317886248976384579,1976698987872256223,2
2319073698381824593,2127302242598912651,1
2319073698381824593,2225760978862080495,2
2319073698381824593,2414840530337792842,3
2319073698381824593,2422129316331520792,3
2319073698381824593,2504576422903808724,1
2322232353226752585,2395468382339072044,1
2324483360686080269,2196196386930688912,1
2326551236444160719,2306237517529088344,2
2337102268203008883,2132789264646144771,1
2337102268203008883,2430791812382720358,2
2343219224379392566,1775020342771712881,1
2348376507023360292,2289771292393472987,1
2354159328165888057,2087967287934976056,1
2356223001231360368,1775020342771712881,1
2358124941934592712,2009144303288320717,1
2361600862322688360,2161973592588288330,4
2362199540498432269,1666219283316736112,3
2367171560734720846,2225760978862080495,1
2367171560734720846,2319073698381824593,1
2367171560734720846,2422129316331520792,1
2368749315293184504,2001217043562496189,1
2368802222243840637,2133737059909632332,1
2374284781551616382,2291697828495360276,1
2384389262540800346,2133737059909632332,1
2395468382339072044,2184503455907840595,1
2396341544157184197,2038837568077824443,1
2400621118357504739,2048123832631296544,1
2400860093022208090,2516510895505408333,1
2404599541530624008,2045421367066625005,1
2407156523466752495,2009144303288320717,1
2408979644809216432,2016038807928832315,1
2408979644809216432,2516510895505408333,1
2408979644809216432,2517054938677248582,2
2408979644809216432,2517066447847424163,1
2414840530337792842,2127302242598912651,1
2414840530337792842,2319073698381824593,3
2422129316331520792,2225760978862080495,1
2422129316331520792,2319073698381824593,4
2422129316331520792,2367171560734720846,1
2424441921339392909,2319160595972096425,1
2429428915240960444,2012549734203392577,1
